State,Second Quarter 2018 ,Second Quarter  2017
Alabama                                        ,14.3,15.7
Alaska                                              ,9.6,5.2
Arizona                                           ,5.8,10.3
Arkansas                                         ,11.3,10.6
California                                         ,4.6,4.8
Colorado                                          ,2.4,6.2
Connecticut                                      ,5.8,5.9
Delaware                                         ,6.8,7.7
District of Columbia                      ,8.3,8.2
Florida                                               ,7.7,8.5
Georgia                                           ,6.6,8.3
Hawaii                                               ,9.7,8.8
Idaho                                                ,6.8,7.7
Illinois                                               ,6.7,8.3
Indiana                                           ,9.1,9.8
Iowa                                                  ,9.1,6.9
Kansas                                           ,11.5,13.7
Kentucky                                         ,5.9,6.9
Louisiana                                         ,10.8,10.3
Maine                                               ,3.5,3.9
Maryland                                     ,8.7,6.5
Massachusetts                                ,3.5,4.5
Michigan                                           ,8,6.6
Minnesota                                        ,5.7,6.3
Mississippi                                     ,8.9,11.5
Missouri                                           ,9.7,10.6
Montana                                             ,6.3,7
Nebraska                                         ,8.4,7.6
Nevada                                              ,4.9,7.1
New Hampshire                              ,3.2,2.9
New Jersey                                        ,4.3,4.9
New Mexico                                    ,10.2,11.7
New York                                          ,5.3,5.1
North Carolina                                 ,6.2,7.7
North Dakota                                  ,14.1,16.9
Ohio                                                   ,7.4,6.7
Oklahoma                                        ,11,8.2
Oregon                                             ,6.1,6.9
Pennsylvania                                 ,6,7
Rhode Island                                   ,1.8,2.7
South Carolina                                 ,12.1,9.4
South Dakota                                 ,8.1,8.2
Tennessee                                      ,9.4,7.5
Texas                                                  ,8.9,10
Utah                                                     ,5.5,7.1
Vermont                                          ,4.4,3.8
Virginia                                             ,4.7,6.9
Washington                                    ,5.1,4.6
West Virginia                                  ,8.1,7.7
Wisconsin                                         ,4.7,5
Wyoming                                         ,10.7,12.7
