Monthly rent specified renter units,Second Quarter 2017 Rental Vacancy Rate,Second Quarter 2018 Rental Vacancy Rate
Less than $300,1.7 ,1.6 
$300 to $349,4.8 ,7.1 
$350 to $399,6.7 ,5.1 
$400 to $449,8.8 ,9.7 
$450 to $499,7.3 ,6.8 
$500 to $599                                                           ,6.8 ,6.2 
$600 to $699                                                          ,7.8 ,6.0 
$700 to $799                                                          ,7.2 ,7.6 
$800 to $899,7.8 ,6.2 
$900 to $999,7.7 ,6.2 
$1000 to $1249,7.1 ,6.3 
$1250 to $1499,8.3 ,8.4 
$1500 to $1749,7.2 ,5.5 
$1750 to $1999 ,7.3 ,5.6 
$2000 or more,9.8 ,10.0 
